City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
231,Olafsvik,IS,64.89,-23.71,51.66,78,95,14.54,overcast clouds,0.0,0.0
232,New Waterford,US,40.85,-80.61,72.0,73,100,4.0,light rain,0.21,0.0
233,Baruun-Urt,MN,46.68,113.28,71.35,51,45,0.45,scattered clouds,0.0,0.0
234,Republic,US,37.12,-93.48,72.0,83,1,13.87,clear sky,0.0,0.0
235,Georgetown,MY,5.41,100.34,86.0,79,20,6.93,few clouds,0.0,0.0
236,Mahibadhoo,MV,3.78,72.97,83.88,75,89,12.1,overcast clouds,0.0,0.0
237,Lander,US,42.83,-108.73,59.0,58,1,10.29,clear sky,0.0,0.0
238,Flinders,AU,-34.58,150.86,48.99,77,39,3.0,scattered clouds,0.0,0.0
239,Gimli,CA,50.63,-96.99,66.0,61,33,5.99,scattered clouds,0.0,0.0
240,Sabha,LY,27.04,14.43,96.51,11,0,12.39,clear sky,0.0,0.0
241,Santa Maria,BR,-29.68,-53.81,44.4,76,59,9.51,broken clouds,0.0,0.0
242,Zhigansk,RU,66.77,123.37,76.32,47,64,3.51,broken clouds,0.0,0.0
243,Lasa,IT,46.62,10.7,64.4,59,40,8.05,scattered clouds,0.0,0.0
244,Mwinilunga,ZM,-11.74,24.43,83.14,25,15,3.11,few clouds,0.0,0.0
245,Makasar,ID,-5.14,119.42,78.8,83,20,2.24,few clouds,0.0,0.0
246,Tanete,ID,-3.94,119.78,73.44,86,85,3.47,overcast clouds,0.0,0.0
247,Katangi,IN,23.45,79.78,91.24,54,98,12.06,overcast clouds,0.0,0.0
248,Yellowknife,CA,62.46,-114.35,59.0,100,20,2.24,few clouds,0.0,0.0
249,Mitsamiouli,KM,-11.38,43.28,86.0,66,20,13.87,few clouds,0.0,0.0
250,Upernavik,GL,72.79,-56.15,37.94,86,89,4.63,overcast clouds,0.0,0.0
251,Mach,PK,29.86,67.33,104.09,10,0,7.31,clear sky,0.0,0.0
